"spkid","full_name","sats","diameter","class","data_arc","first_obs","last_obs","e","a","i","per_y","condition_code"
1002341,"   73P/Schwassmann-Wachmann 3-T",0,,JFc,4087,2006-03-23,2017-05-31,0.6930,3.061,11.40,5.35,1
1002342,"   73P/Schwassmann-Wachmann 3-U",0,,JFc,16,2006-03-23,2006-04-08,0.6894,3.024,11.36,5.26,8
1002343,"   73P/Schwassmann-Wachmann 3-V",0,,JFc,10,2006-03-23,2006-04-02,0.6935,3.002,11.57,5.2,9
1002344,"   73P/Schwassmann-Wachmann 3-W",0,,JFc,29,2006-03-23,2006-04-21,0.6983,3.112,11.42,5.49,8
1002345,"   73P/Schwassmann-Wachmann 3-X",0,,JFc,46,2006-03-23,2006-05-08,0.6948,3.077,11.40,5.4,6
1002346,"   73P/Schwassmann-Wachmann 3-Y",0,,JFc,34,2006-03-23,2006-04-26,0.7181,3.332,11.55,6.08,8
1002348,"   73P/Schwassmann-Wachmann 3-Z",0,,JFc,6,2006-04-02,2006-04-08,0.6934,3.073,11.34,5.39,9
1002349,"   73P/Schwassmann-Wachmann 3-AA",0,,JFc,19,2006-04-02,2006-04-21,0.6806,2.941,11.30,5.04,8
1002350,"   73P/Schwassmann-Wachmann 3-AB",0,,JFc,31,2006-04-02,2006-05-03,0.6912,3.042,11.37,5.31,7
1002351,"   73P/Schwassmann-Wachmann 3-AC",0,,JFc,30,2006-04-02,2006-05-02,0.6954,3.083,11.41,5.41,7
1002352,"   73P/Schwassmann-Wachmann 3-AD",0,,JFc,6,2006-04-02,2006-04-08,0.6934,3.068,11.37,5.37,9
1002353,"   73P/Schwassmann-Wachmann 3-AE",0,,JFc,20,2006-04-02,2006-04-22,0.6967,3.096,11.41,5.45,8
1002354,"   73P/Schwassmann-Wachmann 3-AF",0,,JFc,7,2006-04-02,2006-04-09,0.6763,2.908,11.24,4.96,9
1002355,"   73P/Schwassmann-Wachmann 3-AG",0,,JFc,24,2006-04-02,2006-04-26,0.6958,3.087,11.41,5.42,7
1002356,"   73P/Schwassmann-Wachmann 3-AH",0,,JFc,3,2006-04-05,2006-04-08,0.6934,3.075,11.33,5.39,9
1002357,"   73P/Schwassmann-Wachmann 3-AI",0,,JFc,31,2006-04-07,2006-05-08,0.6982,3.111,11.43,5.49,8
1002358,"   73P/Schwassmann-Wachmann 3-AJ",0,,JFc,19,2006-04-07,2006-04-26,0.6624,2.786,11.14,4.65,9
1002359,"   73P/Schwassmann-Wachmann 3-AK",0,,JFc,11,2006-04-08,2006-04-19,0.6934,3.058,11.43,5.35,9
1002360,"   73P/Schwassmann-Wachmann 3-AL",0,,JFc,14,2006-04-07,2006-04-21,0.6998,3.128,11.44,5.53,9
1002361,"   73P/Schwassmann-Wachmann 3-AM",0,,JFc,2,2006-04-07,2006-04-09,0.6934,3.036,11.54,5.29,9
1002363,"   73P/Schwassmann-Wachmann 3-AN",0,,JFc,18,2006-04-11,2006-04-29,0.6948,3.076,11.41,5.4,8
1002364,"   73P/Schwassmann-Wachmann 3-AO",0,,JFc,2,2006-04-18,2006-04-20,0.6938,3.072,11.33,5.38,9
1002365,"   73P/Schwassmann-Wachmann 3-AP",0,,JFc,15,2006-04-18,2006-05-03,0.7014,3.144,11.47,5.58,8
1002366,"   73P/Schwassmann-Wachmann 3-AQ",0,,JFc,27,2006-04-17,2006-05-14,0.6959,3.088,11.41,5.43,7
1002367,"   73P/Schwassmann-Wachmann 3-AR",0,,JFc,14,2006-04-07,2006-04-21,0.6958,3.087,11.41,5.43,9
1002368,"   73P/Schwassmann-Wachmann 3-AS",0,,JFc,12,2006-04-20,2006-05-02,0.7011,3.141,11.46,5.57,8
1002369,"   73P/Schwassmann-Wachmann 3-AT",0,,JFc,21,2006-04-07,2006-04-28,0.6869,3.001,11.33,5.2,8
1002370,"   73P/Schwassmann-Wachmann 3-AU",0,,JFc,30,2006-03-29,2006-04-28,0.6928,3.058,11.38,5.35,8
1002371,"   73P/Schwassmann-Wachmann 3-AV",0,,JFc,19,2006-04-02,2006-04-21,0.6934,3.062,11.40,5.36,8
1002372,"   73P/Schwassmann-Wachmann 3-AW",0,,ETc,7,2006-04-19,2006-04-26,0.6482,2.678,10.98,4.38,9
1002373,"   73P/Schwassmann-Wachmann 3-AX",0,,JFc,2,2006-04-19,2006-04-21,0.6925,3.05,11.43,5.33,9
1002374,"   73P/Schwassmann-Wachmann 3-AY",0,,JFc,7,2006-04-19,2006-04-26,0.6640,2.8,11.13,4.69,9
1002375,"   73P/Schwassmann-Wachmann 3-AZ",0,,ETc,7,2006-04-19,2006-04-26,0.6441,2.647,10.93,4.31,9
1002376,"   73P/Schwassmann-Wachmann 3-BA",0,,JFc,7,2006-04-19,2006-04-26,0.6824,2.961,11.27,5.09,9
1002377,"   73P/Schwassmann-Wachmann 3-BB",0,,JFc,2,2006-04-19,2006-04-21,0.6824,2.968,11.19,5.11,9
1002378,"   73P/Schwassmann-Wachmann 3-BC",0,,JFc,11,2006-04-25,2006-05-06,0.7005,3.134,11.46,5.55,8
1002379,"   73P/Schwassmann-Wachmann 3-BD",0,,JFc,6,2006-04-20,2006-04-26,0.6824,2.979,10.97,5.14,9
1002380,"   73P/Schwassmann-Wachmann 3-BE",0,,JFc,5,2006-04-21,2006-04-26,0.6824,2.958,11.32,5.09,9
1002381,"   73P/Schwassmann-Wachmann 3-BF",0,,JFc,11,2006-04-20,2006-05-01,0.6857,2.989,11.32,5.17,8
1002382,"   73P/Schwassmann-Wachmann 3-BG",0,,JFc,7,2006-04-19,2006-04-26,0.6848,2.98,11.32,5.14,9
1002383,"   73P/Schwassmann-Wachmann 3-BH",0,,JFc,6,2006-04-20,2006-04-26,0.6824,2.959,11.29,5.09,9
1002384,"   73P/Schwassmann-Wachmann 3-BI",0,,JFc,7,2006-04-25,2006-05-02,0.6825,2.96,11.30,5.09,9
1002385,"   73P/Schwassmann-Wachmann 3-BJ",0,,JFc,8,2006-04-18,2006-04-26,0.6911,3.041,11.37,5.3,9
1002386,"   73P/Schwassmann-Wachmann 3-BK",0,,JFc,11,2006-04-20,2006-05-01,0.6915,3.045,11.37,5.31,9
1002387,"   73P/Schwassmann-Wachmann 3-BL",0,,JFc,6,2006-04-20,2006-04-26,0.6962,3.091,11.41,5.44,9
1002388,"   73P/Schwassmann-Wachmann 3-BM",0,,JFc,6,2006-04-20,2006-04-26,0.6824,2.959,11.29,5.09,9
1002390,"   73P/Schwassmann-Wachmann 3-BN",0,,JFc,6,2006-05-02,2006-05-08,0.6918,3.047,11.38,5.32,9
